address,property_type,area_name,municipality,is_savedalen,sale_type,sold_date,year,month,final_price_sek,asking_price_sek,price_change_sek,price_change_percent,living_area_m2,extra_area_m2,rooms,plot_area_m2,price_per_m2,bid_change_percent,source_url,detail_url,build_year,energy_class,operating_cost_sek_per_year,monthly_fee_sek,ownership_type,latitude,longitude,days_on_market,has_detail_data,model_latitude,model_longitude,coordinate_source,area_group,distance_to_partille_center_km,distance_to_gothenburg_center_km,distance_to_savedalen_center_km,price_outlier_flag,area_outlier_flag,plot_outlier_flag
Kullegärdet 48,Radhus,Södra Sävedalen,Partille,yes,Slutpris,2026-05-18,2026,5,6600000,6298000.0,302000.0,4.8,132.0,,5.0,175.0,50000.0,4.8,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,https://www.booli.se/bostad/3377643,1978,,,,,57.725615,12.089488,,yes,57.725615,12.089488,detail_page,Södra Sävedalen,1.85,7.07,1.28,no,no,no
Fykelyckan 14,Radhus,Södra Sävedalen,Partille,yes,Slutpris,2026-05-18,2026,5,6600000,,,,136.0,41.0,7.0,151.0,48500.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,https://www.booli.se/bostad/3377643,1978,,,,,57.725615,12.089488,,yes,57.725615,12.089488,detail_page,Södra Sävedalen,1.85,7.07,1.28,no,no,no
Brasebacken 47,Radhus,Öjersjö,Partille,no,Slutpris,2026-05-16,2026,5,4800000,,,,116.0,4.0,4.0,401.8,41400.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,https://www.booli.se/bostad/3377643,1978,,,,,57.725615,12.089488,,yes,57.725615,12.089488,detail_page,Öjersjö,1.85,7.07,1.28,no,no,no
Jennyhillsvägen 9G,Radhus,Mellby,Partille,no,Slutpris,2026-05-16,2026,5,4550000,4034000.0,516000.0,12.8,121.0,2.0,6.0,301.0,37600.0,12.8,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,https://www.booli.se/bostad/3377643,1978,,,,,57.725615,12.089488,,yes,57.725615,12.089488,detail_page,Mellby,1.85,7.07,1.28,no,no,no
Högmossevägen 3,Villa,Öjersjö,Partille,no,Slutpris,2026-05-13,2026,5,5300000,4711000.0,589000.0,12.5,75.0,69.0,5.0,1699.0,70700.0,12.5,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,https://www.booli.se/bostad/3377643,1978,,,,,57.725615,12.089488,,yes,57.725615,12.089488,detail_page,Öjersjö,1.85,7.07,1.28,no,no,no
Bykällevägen 35,Villa,Kåhög,Partille,no,Slutpris,2026-05-13,2026,5,6300000,,,,174.0,76.0,6.0,1074.0,36200.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,https://www.booli.se/bostad/3377643,1978,,,,,57.725615,12.089488,,yes,57.725615,12.089488,detail_page,Kåhög,1.85,7.07,1.28,no,no,no
Fröjas Backe 20,Villa,Södra Sävedalen,Partille,yes,Slutpris,2026-05-12,2026,5,7910000,7498000.0,412000.0,5.5,122.0,6.0,6.0,347.0,64800.0,5.5,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,https://www.booli.se/bostad/3377643,1978,,,,,57.725615,12.089488,,yes,57.725615,12.089488,detail_page,Södra Sävedalen,1.85,7.07,1.28,no,no,no
Morkullesträcket 20B,Villa,Furulund,Partille,no,Slutpris,2026-05-12,2026,5,7650000,7862000.0,-212000.0,-2.7,149.0,,5.0,892.0,51300.0,-2.7,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,https://www.booli.se/bostad/3377643,1978,,,,,57.725615,12.089488,,yes,57.725615,12.089488,detail_page,Furulund,1.85,7.07,1.28,no,no,no
Gryningsvägen 81,Radhus,Furulund,Partille,no,Slutpris,2026-05-11,2026,5,2910000,2942000.0,-32000.0,-1.1,131.8,,4.0,,22100.0,-1.1,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,https://www.booli.se/bostad/3377643,1978,,,,,57.725615,12.089488,,yes,57.725615,12.089488,detail_page,Furulund,1.85,7.07,1.28,no,no,no
Idas väg 3C,Radhus,Öjersjö,Partille,no,Slutpris,2026-05-08,2026,5,6500000,6500000.0,0.0,0.0,125.0,,5.0,125.0,52000.0,0.0,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,https://www.booli.se/bostad/3377643,1978,,,,,57.725615,12.089488,,yes,57.725615,12.089488,detail_page,Öjersjö,1.85,7.07,1.28,no,no,no
Hällebergsvägen 5,Villa,Öjersjö,Partille,no,Slutpris,2026-05-08,2026,5,12900000,,,,196.0,92.0,,1081.0,65800.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,https://www.booli.se/bostad/3377643,1978,,,,,57.725615,12.089488,,yes,57.725615,12.089488,detail_page,Öjersjö,1.85,7.07,1.28,no,no,no
Källdalsvägen 11,Radhus,Mellby,Partille,no,Slutpris,2026-05-07,2026,5,3200000,3190000.0,10000.0,0.3,107.0,,4.0,182.0,29900.0,0.3,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,https://www.booli.se/bostad/3377643,1978,,,,,57.725615,12.089488,,yes,57.725615,12.089488,detail_page,Mellby,1.85,7.07,1.28,no,no,no
Haketjärnsvägen 33,Villa,Furulund,Partille,no,Sista bud,2026-05-07,2026,5,7775000,6726000.0,1049000.0,15.6,152.0,30.0,7.0,863.4,51200.0,15.6,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,https://www.booli.se/bostad/3377643,1978,,,,,57.725615,12.089488,,yes,57.725615,12.089488,detail_page,Furulund,1.85,7.07,1.28,no,no,no
Rådjursstigen 17B,Villa,Öjersjö,Partille,no,Slutpris,2026-05-06,2026,5,10000000,,,,166.0,35.0,7.0,857.0,60200.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,https://www.booli.se/bostad/3377643,1978,,,,,57.725615,12.089488,,yes,57.725615,12.089488,detail_page,Öjersjö,1.85,7.07,1.28,no,no,no
Ridhusvägen 6,Villa,Furulund,Partille,no,Slutpris,2026-05-06,2026,5,6525000,7234000.0,-709000.0,-9.8,101.0,80.0,5.0,1350.0,64600.0,-9.8,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,https://www.booli.se/bostad/3377643,1978,,,,,57.725615,12.089488,,yes,57.725615,12.089488,detail_page,Furulund,1.85,7.07,1.28,no,no,no
Björkåsvägen 15,Villa,Kåhög,Partille,no,Slutpris,2026-05-05,2026,5,5050000,4327000.0,723000.0,16.7,91.0,83.0,5.0,866.8,55500.0,16.7,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,https://www.booli.se/bostad/3377643,1978,,,,,57.725615,12.089488,,yes,57.725615,12.089488,detail_page,Kåhög,1.85,7.07,1.28,no,no,no
Bragevägen 15,Villa,Sävedalen,Partille,yes,Slutpris,2026-05-04,2026,5,6650000,6604000.0,46000.0,0.7,112.0,75.0,6.0,853.0,59400.0,0.7,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,https://www.booli.se/bostad/3377643,1978,,,,,57.725615,12.089488,,yes,57.725615,12.089488,detail_page,Sävedalen,1.85,7.07,1.28,no,no,no
